total_exhibited_artworks
28
32
57
72
589
108
68
68
5
351
66
50
242
6
277
23
24
61
323
75
74
104
103
194
15
81
422
122
31
3
121
22
20
39
4
29
215
185
1
140
92
19
9
179
432
23
760
95
84
37
498
239
19
342
84
21
37
4
18
5
5
181
23
124
8
19
402
168
20
111
126
110
332
50
30
14
24
6
69
42
126
6
79
43
12
36
66
132
101
9
20
35
116
45
98
100
13
22
91
312
255
133
363
113
29
257
17
51
85
91
194
12
148
1327
103
34
33
48
163
1
46
178
38
127
13
43
26
167
15
677
190
145
1
34
45
32
10
249
179
10
27
82
19
101
69
115
20
148
56
172
34
17
265
27
102
200
92
16
202
67
58
23
7
240
65
163
51
115
52
310
380
88
16
200
79
26
111
70
11
225
23
47
161
544
60
221
15
29
33
104
12
60
351
262
2
215
70
16
72
99
290
36
267
480
42
30
77
71
144
87
5
11
15
4
23
4
106
380
132
7
26
49
60
14
58
1307
303
45
31
29
133
38
11
72
5
89
55
47
139
33
284
265
36
15
168
4
288
415
51
26
75
28
56
87
62
131
32
38
347
573
112
707
18
20
507
99
15
43
252
107
307
19
66
14
159
6
130
139
113
1
47
19
3
135
10
271
211
280
8
8
623
410
8
218
13
113
76
110
11
36
12
23
3
3
24
214
33
32
35
26
49
315
31
5
19
45
150
41
329
127
3
17
472
2217
123
13
289
65
38
263
166
149
134
99
76
385
30
12
160
74
205
7
70
18
82
16
2
154
12
59
138
12
8
39
43
43
91
43
97
197
11
15
13
26
113
12
84
23
27
59
4
10
56
82
38
45
13
396
34
126
12
15
36
243
96
7
137
185
40
14
127
68
297
198
208
154
81
7
24
76
60
80
294
7
7
32
15
93
17
19
10
55
6
79
119
15
165
45
94
18
11
101
163
23
33
16
48
10
110
38
110
297
60
31
21
4
34
6
6
18
21
22
4
48
44
31
87
31
25
50
93
29
29
9
33
12
11
26
11
58
11
10
153
22
85
20
118
113
338
45
43
37
147
164
36
381
50
67
75
23
175
117
113
114
50
85
38
30
281
75
6
40
16
65
22
5
17
6
7
197
46
3
16
13
1
24
7
6
17
2
75
19
956
70
15
33
26
44
90
64
3
25
225
14
2
9
36
9
96
17
113
34
14
27
131
70
9
48
56
10
44
20
89
13
10
26
6
25
120
1
19
63
77
6
6
34
72
61
11
23
51
129
75
27
85
25
43
12
29
20
56
36
11
35
159
5
63
28
6
50
23
63
36
51
27
11
67
48
15
66
62
15
49
27
7
50
121
64
17
72
136
32
61
21
18
34
6
20
46
59
9
17
42
64
10
4
8
8
12
2
10
14
4
21
4
92
33
1
4
1
1
12
12
5
19
9
29
28
51
56
1
22
56
28
66
31
1
11
53
70
16
20
11
21
89
11
20
51
7
27
5
3
15
14
15
13
5
9
6
19
2
18
11
50
11
12
5
40
37
37
6
17
7
2
6
57
10
15
13
49
4
19
95
3
1
3
2
9
8
59
4
15
9
10
74
3
6
50
4
4
43
7
8
13
28
6
3
4
5
255
6
12
35
2
7
4
10
58
7
24
29
4
1
6
18
1
89
9
20
23
7
38
81
8
5
13
6
19
3
34
29
11
6
4
6
12
8
8
2
8
6
13
2
5
3
3
4
2
2
3
2
4
6
7
3
4
13
6
12
5
18
3
3
2
5
